step,action,reward,score_left,score_right
381,0,0.0,1,1
382,0,0.0,1,1
383,0,0.0,1,1
384,0,0.0,1,1
385,0,0.0,1,1
386,0,0.0,1,1
387,2,0.0,1,1
388,0,0.0,1,1
389,0,0.0,1,1
390,3,0.0,1,1
391,3,0.0,1,1
392,3,0.0,1,1
393,0,0.0,1,1
394,0,0.0,1,1
395,0,0.0,1,1
396,3,0.0,1,1
397,0,0.0,1,1
398,0,0.0,1,1
399,0,0.0,1,1
400,0,0.0,1,1
401,0,0.0,1,1
402,0,0.0,1,1
403,0,0.0,1,1
404,0,0.0,1,1
405,0,0.0,1,1
406,0,0.0,1,1
407,0,0.0,1,1
408,2,0.0,1,1
409,2,0.0,1,1
410,0,0.0,1,1
411,0,0.0,1,1
412,0,0.0,1,1
413,0,0.0,1,1
414,0,0.0,1,1
415,2,0.0,1,1
416,2,0.0,1,1
417,2,0.0,1,1
418,2,-1.0,2,1
419,0,0.0,2,1
420,3,0.0,2,1
421,3,0.0,2,1
422,3,0.0,2,1
423,3,0.0,2,1
424,3,0.0,2,1
425,0,0.0,2,1
426,0,0.0,2,1
427,0,0.0,2,1
428,0,0.0,2,1
429,0,0.0,2,1
430,0,0.0,2,1
431,0,0.0,2,1
432,0,0.0,2,1
433,0,0.0,2,1
434,0,0.0,2,1
435,0,0.0,2,1
436,0,0.0,2,1
437,0,0.0,2,1
438,0,0.0,2,1
439,2,0.0,2,1
440,0,0.0,2,1
441,0,0.0,2,1
442,0,0.0,2,1
443,0,0.0,2,1
444,0,0.0,2,1
445,2,0.0,2,1
446,0,0.0,2,1
447,0,0.0,2,1
448,0,0.0,2,1
449,0,0.0,2,1
450,0,0.0,2,1
451,2,0.0,2,1
452,2,0.0,2,1
453,0,-1.0,3,1
454,0,0.0,3,1
455,0,0.0,3,1
456,3,0.0,3,1
457,3,0.0,3,1
458,3,0.0,3,1
459,0,0.0,3,1
460,0,0.0,3,1
461,0,0.0,3,1
462,0,0.0,3,1
463,0,0.0,3,1
464,0,0.0,3,1
465,0,0.0,3,1
466,0,0.0,3,1
467,0,0.0,3,1
468,0,0.0,3,1
469,0,0.0,3,1
470,0,0.0,3,1
471,0,0.0,3,1
472,0,0.0,3,1
473,0,0.0,3,1
474,0,0.0,3,1
475,0,0.0,3,1
476,0,0.0,3,1
477,0,0.0,3,1
478,0,0.0,3,1
479,0,0.0,3,1
480,2,0.0,3,1
481,2,0.0,3,1
482,0,0.0,3,1
483,0,0.0,3,1
484,0,0.0,3,1
485,0,0.0,3,1
486,0,0.0,3,1
487,3,0.0,3,1
488,3,-1.0,4,1
489,0,0.0,4,1
490,0,0.0,4,1
491,0,0.0,4,1
492,0,0.0,4,1
493,0,0.0,4,1
494,0,0.0,4,1
495,0,0.0,4,1
496,0,0.0,4,1
497,0,0.0,4,1
498,0,0.0,4,1
499,0,0.0,4,1
500,0,0.0,4,1
501,0,0.0,4,1
502,0,0.0,4,1
503,0,0.0,4,1
504,0,0.0,4,1
505,0,0.0,4,1
506,0,0.0,4,1
507,0,0.0,4,1
508,0,0.0,4,1
509,0,0.0,4,1
510,0,0.0,4,1
511,0,0.0,4,1
512,0,0.0,4,1
513,0,0.0,4,1
514,0,0.0,4,1
515,0,0.0,4,1
516,0,0.0,4,1
517,2,0.0,4,1
518,2,0.0,4,1
519,0,0.0,4,1
520,0,0.0,4,1
521,0,0.0,4,1
522,0,0.0,4,1
523,0,0.0,4,1
524,0,0.0,4,1
525,0,0.0,4,1
526,0,0.0,4,1
527,0,0.0,4,1
528,0,0.0,4,1
529,0,0.0,4,1
530,0,0.0,4,1
531,0,0.0,4,1
532,0,0.0,4,1
533,0,0.0,4,1
534,0,0.0,4,1
535,0,0.0,4,1
536,0,0.0,4,1
537,0,0.0,4,1
538,0,0.0,4,1
539,0,0.0,4,1
540,0,0.0,4,1
541,0,0.0,4,1
542,0,0.0,4,1
543,0,0.0,4,1
544,0,0.0,4,1
545,0,0.0,4,1
546,0,0.0,4,1
547,0,0.0,4,1
548,0,0.0,4,1
549,0,0.0,4,1
550,0,0.0,4,1
551,0,0.0,4,1
552,3,0.0,4,1
553,3,0.0,4,1
554,0,0.0,4,1
555,0,0.0,4,1
556,0,0.0,4,1
557,0,0.0,4,1
558,0,0.0,4,1
559,0,0.0,4,1
560,0,0.0,4,1
561,0,0.0,4,1
562,0,0.0,4,1
563,0,0.0,4,1
564,0,0.0,4,1
565,0,0.0,4,1
566,0,0.0,4,1
567,0,0.0,4,1
568,0,0.0,4,1
569,0,0.0,4,1
570,0,0.0,4,1
571,0,0.0,4,1
572,3,0.0,4,1
573,0,0.0,4,1
574,0,0.0,4,1
575,0,0.0,4,1
576,0,0.0,4,1
577,0,0.0,4,1
578,3,0.0,4,1
579,3,0.0,4,1
580,0,0.0,4,1
581,0,0.0,4,1
582,0,0.0,4,1
583,0,-1.0,5,1
584,0,0.0,5,1
585,0,0.0,5,1
586,0,0.0,5,1
587,0,0.0,5,1
588,0,0.0,5,1
589,0,0.0,5,1
590,0,0.0,5,1
591,0,0.0,5,1
592,0,0.0,5,1
593,0,0.0,5,1
594,0,0.0,5,1
595,0,0.0,5,1
596,0,0.0,5,1
597,0,0.0,5,1
598,0,0.0,5,1
599,0,0.0,5,1
