step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,ball_x_std,ball_y_std,right_paddle_y_std,left_paddle_y_std,ball_x_minmax,ball_y_minmax,right_paddle_y_minmax,left_paddle_y_minmax
44,3,0.0,0,0,81,41,81,50,0.32546705,-0.77329797,-0.5403912,-0.83524096,0.5466667,0.21761657,0.29220778,0.2642487
45,3,0.0,0,0,85,49,103,52,0.41271386,-0.6315547,-0.018655991,-0.7968641,0.5733333,0.25906736,0.43506494,0.2746114
46,0,0.0,0,0,89,57,115,60,0.4999607,-0.48981145,0.26592684,-0.64335656,0.6,0.30051813,0.512987,0.31606218
47,0,0.0,0,0,93,65,117,66,0.5872075,-0.3480682,0.31335732,-0.5282259,0.62666667,0.34196892,0.52597404,0.34715027
48,0,0.0,0,0,97,73,119,74,0.67445433,-0.20632495,0.36078778,-0.37471834,0.6533333,0.3834197,0.53896105,0.38860103
49,3,0.0,0,0,101,81,125,80,0.76170117,-0.06458171,0.50307924,-0.25958768,0.68,0.42487046,0.5779221,0.41968912
50,3,0.0,0,0,105,89,145,88,0.84894794,0.07716154,0.9773839,-0.10608015,0.70666665,0.46632123,0.7077922,0.4611399
51,0,0.0,0,0,109,97,155,94,0.9361948,0.2189048,1.2145363,0.009050506,0.73333335,0.507772,0.77272725,0.49222797
52,0,0.0,0,0,113,105,159,102,1.0234416,0.36064804,1.3093972,0.16255805,0.76,0.5492228,0.7987013,0.53367877
53,0,0.0,0,0,117,113,159,108,1.1106884,0.5023913,1.3093972,0.2776887,0.7866667,0.59067357,0.7987013,0.5647668
54,0,0.0,0,0,121,121,159,116,1.1979352,0.6441345,1.3093972,0.43119624,0.81333333,0.63212436,0.7987013,0.6062176
55,0,0.0,0,0,125,129,159,122,1.2851821,0.78587776,1.3093972,0.5463269,0.84,0.6735751,0.7987013,0.6373057
56,0,0.0,0,0,129,137,159,130,1.3724289,0.927621,1.3093972,0.6998344,0.8666667,0.7150259,0.7987013,0.6787565
57,0,0.0,0,0,133,145,159,136,1.4596757,1.0693643,1.3093972,0.81496507,0.8933333,0.7564767,0.7987013,0.7098446
58,0,0.0,0,0,137,153,159,144,1.5469226,1.2111075,1.3093972,0.9684726,0.92,0.79792744,0.7987013,0.7512953
59,2,0.0,0,0,137,157,157,150,1.5469226,1.2819791,1.2619668,1.0836033,0.92,0.81865287,0.78571427,0.78238344
60,2,0.0,0,0,133,157,141,158,1.4596757,1.2819791,0.882523,1.2371109,0.8933333,0.81865287,0.6818182,0.8238342
61,2,0.0,0,0,129,157,119,162,1.3724289,1.2819791,0.36078778,1.3138646,0.8666667,0.81865287,0.53896105,0.8445596
62,2,0.0,0,0,125,157,97,162,1.2851821,1.2819791,-0.16094741,1.3138646,0.84,0.81865287,0.3961039,0.8445596
63,2,0.0,0,0,121,157,73,162,1.1979352,1.2819791,-0.7301131,1.3138646,0.81333333,0.81865287,0.24025974,0.8445596
64,2,0.0,0,0,117,157,51,162,1.1106884,1.2819791,-1.2518482,1.3138646,0.7866667,0.81865287,0.097402595,0.8445596
65,0,0.0,0,0,113,157,39,162,1.0234416,1.2819791,-1.5364311,1.3138646,0.76,0.81865287,0.019480519,0.8445596
66,0,0.0,0,0,109,157,38,162,0.9361948,1.2819791,-1.5601463,1.3138646,0.73333335,0.81865287,0.012987013,0.8445596
67,3,0.0,0,0,105,157,43,162,0.84894794,1.2819791,-1.4415702,1.3138646,0.70666665,0.81865287,0.045454547,0.8445596
68,3,0.0,0,0,101,157,63,162,0.76170117,1.2819791,-0.9672654,1.3138646,0.68,0.81865287,0.17532468,0.8445596
69,3,0.0,0,0,97,157,85,162,0.67445433,1.2819791,-0.44553024,1.3138646,0.6533333,0.81865287,0.3181818,0.8445596
70,3,0.0,0,0,93,157,107,162,0.5872075,1.2819791,0.076204956,1.3138646,0.62666667,0.81865287,0.46103895,0.8445596
71,3,0.0,0,0,89,157,131,162,0.4999607,1.2819791,0.6453706,1.3138646,0.6,0.81865287,0.6168831,0.8445596
72,3,0.0,0,0,85,157,155,162,0.41271386,1.2819791,1.2145363,1.3138646,0.5733333,0.81865287,0.77272725,0.8445596
73,3,0.0,0,0,81,157,177,162,0.32546705,1.2819791,1.7362715,1.3138646,0.5466667,0.81865287,0.91558444,0.8445596
74,0,0.0,0,0,77,157,188,162,0.23822023,1.2819791,1.9971391,1.3138646,0.52,0.81865287,0.987013,0.8445596
75,0,0.0,0,0,73,157,189,162,0.15097341,1.2819791,2.0208542,1.3138646,0.49333334,0.81865287,0.9935065,0.8445596
76,0,0.0,0,0,69,157,190,162,0.06372658,1.2819791,2.0445695,1.3138646,0.46666667,0.81865287,1.0,0.8445596
77,0,0.0,0,0,65,157,190,162,-0.023520237,1.2819791,2.0445695,1.3138646,0.44,0.81865287,1.0,0.8445596
78,0,0.0,0,0,61,157,190,162,-0.11076706,1.2819791,2.0445695,1.3138646,0.41333333,0.81865287,1.0,0.8445596
79,0,0.0,0,0,57,157,190,162,-0.19801387,1.2819791,2.0445695,1.3138646,0.38666666,0.81865287,1.0,0.8445596
80,0,0.0,0,0,53,157,190,162,-0.2852607,1.2819791,2.0445695,1.3138646,0.36,0.81865287,1.0,0.8445596
