step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,action_next,ball_vx,ball_vy,right_paddle_vy,left_paddle_vy
75,0,0.0,0,0,73,157,189,162,0.0,-4.0,0.0,1.0,0.0
76,0,0.0,0,0,69,157,190,162,0.0,-4.0,0.0,1.0,0.0
77,0,0.0,0,0,65,157,190,162,0.0,-4.0,0.0,0.0,0.0
78,0,0.0,0,0,61,157,190,162,0.0,-4.0,0.0,0.0,0.0
79,0,0.0,0,0,57,157,190,162,0.0,-4.0,0.0,0.0,0.0
80,0,0.0,0,0,53,157,190,162,0.0,-4.0,0.0,0.0,0.0
81,0,0.0,0,0,49,157,190,162,0.0,-4.0,0.0,0.0,0.0
82,0,0.0,0,0,45,157,190,162,0.0,-4.0,0.0,0.0,0.0
83,0,0.0,0,0,41,157,190,162,0.0,-4.0,0.0,0.0,0.0
84,0,0.0,0,0,37,157,190,162,0.0,-4.0,0.0,0.0,0.0
85,0,0.0,0,0,33,157,190,162,0.0,-4.0,0.0,0.0,0.0
86,0,0.0,0,0,29,157,190,162,0.0,-4.0,0.0,0.0,0.0
87,0,0.0,0,0,25,157,190,162,0.0,-4.0,0.0,0.0,0.0
88,0,0.0,0,0,21,157,190,162,0.0,-4.0,0.0,0.0,0.0
89,0,0.0,0,0,21,153,190,160,0.0,0.0,-4.0,0.0,-2.0
90,0,0.0,0,0,25,145,190,152,2.0,4.0,-8.0,0.0,-8.0
91,2,0.0,0,0,29,137,187,146,2.0,4.0,-8.0,-3.0,-6.0
92,2,0.0,0,0,33,129,169,138,2.0,4.0,-8.0,-18.0,-8.0
93,2,0.0,0,0,37,121,149,132,0.0,4.0,-8.0,-20.0,-6.0
94,0,0.0,0,0,41,113,135,124,0.0,4.0,-8.0,-14.0,-8.0
95,0,0.0,0,0,45,105,133,118,2.0,4.0,-8.0,-2.0,-6.0
96,2,0.0,0,0,49,97,121,110,2.0,4.0,-8.0,-12.0,-8.0
97,2,0.0,0,0,53,89,101,104,0.0,4.0,-8.0,-20.0,-6.0
98,0,0.0,0,0,57,81,81,96,0.0,4.0,-8.0,-20.0,-8.0
99,0,0.0,0,0,61,73,75,90,0.0,4.0,-8.0,-6.0,-6.0
100,0,0.0,0,0,65,65,73,82,0.0,4.0,-8.0,-2.0,-8.0
101,0,0.0,0,0,69,57,73,76,0.0,4.0,-8.0,0.0,-6.0
102,0,0.0,0,0,73,49,73,68,0.0,4.0,-8.0,0.0,-8.0
103,0,0.0,0,0,77,41,73,62,0.0,4.0,-8.0,0.0,-6.0
104,0,0.0,0,0,81,34,73,54,0.0,4.0,-7.0,0.0,-8.0
105,0,0.0,0,0,85,38,73,48,0.0,4.0,4.0,0.0,-6.0
106,0,0.0,0,0,89,46,73,52,0.0,4.0,8.0,0.0,4.0
107,0,0.0,0,0,93,54,73,58,0.0,4.0,8.0,0.0,6.0
108,0,0.0,0,0,97,62,73,66,3.0,4.0,8.0,0.0,8.0
109,3,0.0,0,0,101,70,83,72,3.0,4.0,8.0,10.0,6.0
110,3,0.0,0,0,105,78,103,80,0.0,4.0,8.0,20.0,8.0
111,0,0.0,0,0,109,86,115,86,3.0,4.0,8.0,12.0,6.0
112,3,0.0,0,0,113,94,129,94,0.0,4.0,8.0,14.0,8.0
113,0,0.0,0,0,117,102,139,100,0.0,4.0,8.0,10.0,6.0
114,0,0.0,0,0,121,110,143,108,0.0,4.0,8.0,4.0,8.0
115,0,0.0,0,0,125,118,143,114,0.0,4.0,8.0,0.0,6.0
116,0,0.0,0,0,129,126,143,122,0.0,4.0,8.0,0.0,8.0
117,0,0.0,0,0,133,133,143,128,0.0,4.0,7.0,0.0,6.0
118,0,0.0,0,0,137,141,143,136,0.0,4.0,8.0,0.0,8.0
119,0,0.0,0,0,135,147,143,142,3.0,-2.0,6.0,0.0,6.0
120,3,0.0,0,0,127,151,153,150,3.0,-8.0,4.0,10.0,8.0
121,3,0.0,0,0,119,156,173,156,0.0,-8.0,5.0,20.0,6.0
122,0,0.0,0,0,111,160,185,164,0.0,-8.0,4.0,12.0,8.0
123,0,0.0,0,0,103,164,186,168,0.0,-8.0,4.0,1.0,4.0
124,0,0.0,0,0,95,168,187,174,0.0,-8.0,4.0,1.0,6.0
125,0,0.0,0,0,87,172,187,176,0.0,-8.0,4.0,0.0,2.0
126,0,0.0,0,0,79,176,187,182,0.0,-8.0,4.0,0.0,6.0
127,0,0.0,0,0,71,180,187,184,0.0,-8.0,4.0,0.0,2.0
128,0,0.0,0,0,63,184,187,188,0.0,-8.0,4.0,0.0,4.0
129,0,0.0,0,0,55,188,187,189,0.0,-8.0,4.0,0.0,1.0
130,0,0.0,0,0,47,192,187,192,0.0,-8.0,4.0,0.0,3.0
131,0,0.0,0,0,39,189,187,190,0.0,-8.0,-3.0,0.0,-2.0
132,0,0.0,0,0,31,185,187,188,0.0,-8.0,-4.0,0.0,-2.0
133,0,0.0,0,0,23,181,187,186,0.0,-8.0,-4.0,0.0,-2.0
134,0,0.0,0,0,23,175,187,180,0.0,0.0,-6.0,0.0,-6.0
135,0,0.0,0,0,31,167,187,174,0.0,8.0,-8.0,0.0,-6.0
136,0,0.0,0,0,39,159,187,166,0.0,8.0,-8.0,0.0,-8.0
137,0,0.0,0,0,47,151,187,160,2.0,8.0,-8.0,0.0,-6.0
138,2,0.0,0,0,55,143,179,152,2.0,8.0,-8.0,-8.0,-8.0
139,2,0.0,0,0,63,135,159,146,2.0,8.0,-8.0,-20.0,-6.0
140,2,0.0,0,0,71,127,137,138,2.0,8.0,-8.0,-22.0,-8.0
141,2,0.0,0,0,79,119,113,132,2.0,8.0,-8.0,-24.0,-6.0
142,2,0.0,0,0,87,111,91,124,0.0,8.0,-8.0,-22.0,-8.0
143,0,0.0,0,0,95,103,77,118,0.0,8.0,-8.0,-14.0,-6.0
144,0,0.0,0,0,103,95,75,110,0.0,8.0,-8.0,-2.0,-8.0
145,0,0.0,0,0,111,87,73,104,0.0,8.0,-8.0,-2.0,-6.0
146,0,0.0,0,0,119,79,73,96,0.0,8.0,-8.0,0.0,-8.0
147,0,0.0,0,0,127,71,73,90,0.0,8.0,-8.0,0.0,-6.0
148,0,0.0,0,0,135,63,73,82,2.0,8.0,-8.0,0.0,-8.0
149,2,0.0,0,0,143,55,71,76,2.0,8.0,-8.0,-2.0,-6.0
150,2,0.0,0,0,-1,-1,55,68,2.0,-144.0,-56.0,-16.0,-8.0
151,2,-1.0,1,0,-1,-1,39,62,0.0,0.0,0.0,-16.0,-6.0
152,0,0.0,1,0,-1,-1,37,54,0.0,0.0,0.0,-2.0,-8.0
153,0,0.0,1,0,-1,-1,36,48,3.0,0.0,0.0,-1.0,-6.0
154,3,0.0,1,0,-1,-1,36,41,3.0,0.0,0.0,0.0,-7.0
155,3,0.0,1,0,-1,-1,43,38,3.0,0.0,0.0,7.0,-3.0
156,3,0.0,1,0,-1,-1,63,34,0.0,0.0,0.0,20.0,-4.0
157,0,0.0,1,0,-1,-1,75,-1,0.0,0.0,0.0,12.0,-35.0
158,0,0.0,1,0,-1,-1,77,-1,0.0,0.0,0.0,2.0,0.0
159,0,0.0,1,0,-1,-1,79,-1,0.0,0.0,0.0,2.0,0.0
160,0,0.0,1,0,-1,-1,79,-1,0.0,0.0,0.0,0.0,0.0
161,0,0.0,1,0,-1,-1,79,-1,0.0,0.0,0.0,0.0,0.0
162,0,0.0,1,0,-1,-1,79,-1,0.0,0.0,0.0,0.0,0.0
163,0,0.0,1,0,-1,-1,79,-1,0.0,0.0,0.0,0.0,0.0
164,0,0.0,1,0,-1,-1,79,-1,0.0,0.0,0.0,0.0,0.0
165,0,0.0,1,0,-1,-1,79,-1,3.0,0.0,0.0,0.0,0.0
166,3,0.0,1,0,-1,-1,89,-1,3.0,0.0,0.0,10.0,0.0
167,3,0.0,1,0,81,113,109,118,3.0,82.0,114.0,20.0,119.0
168,3,0.0,1,0,85,109,131,114,0.0,4.0,-4.0,22.0,-4.0
169,0,0.0,1,0,89,105,145,110,0.0,4.0,-4.0,14.0,-4.0
170,0,0.0,1,0,93,101,147,106,0.0,4.0,-4.0,2.0,-4.0
171,0,0.0,1,0,97,97,149,102,0.0,4.0,-4.0,2.0,-4.0
172,0,0.0,1,0,101,93,149,98,2.0,4.0,-4.0,0.0,-4.0
173,2,0.0,1,0,105,89,139,94,2.0,4.0,-4.0,-10.0,-4.0
174,2,0.0,1,0,109,85,117,90,2.0,4.0,-4.0,-22.0,-4.0
175,2,0.0,1,0,113,81,97,86,0.0,4.0,-4.0,-20.0,-4.0
176,0,0.0,1,0,117,77,83,82,0.0,4.0,-4.0,-14.0,-4.0
177,0,0.0,1,0,121,73,81,78,0.0,4.0,-4.0,-2.0,-4.0
178,0,0.0,1,0,125,69,79,74,2.0,4.0,-4.0,-2.0,-4.0
179,2,0.0,1,0,129,65,69,70,0.0,4.0,-4.0,-10.0,-4.0
180,0,0.0,1,0,133,61,55,66,0.0,4.0,-4.0,-14.0,-4.0
181,0,0.0,1,0,137,57,53,62,2.0,4.0,-4.0,-2.0,-4.0
182,2,0.0,1,0,137,59,41,64,0.0,0.0,2.0,-12.0,2.0
183,0,0.0,1,0,133,67,37,70,0.0,-4.0,8.0,-4.0,6.0
184,0,0.0,1,0,129,75,36,78,0.0,-4.0,8.0,-1.0,8.0
185,0,0.0,1,0,125,83,36,84,0.0,-4.0,8.0,0.0,6.0
186,0,0.0,1,0,121,91,36,92,0.0,-4.0,8.0,0.0,8.0
187,0,0.0,1,0,117,99,36,98,0.0,-4.0,8.0,0.0,6.0
188,0,0.0,1,0,113,107,36,106,0.0,-4.0,8.0,0.0,8.0
189,0,0.0,1,0,109,115,36,112,0.0,-4.0,8.0,0.0,6.0
190,0,0.0,1,0,105,123,36,120,0.0,-4.0,8.0,0.0,8.0
191,0,0.0,1,0,101,131,36,126,0.0,-4.0,8.0,0.0,6.0
192,0,0.0,1,0,97,139,36,134,3.0,-4.0,8.0,0.0,8.0
193,3,0.0,1,0,93,147,40,140,3.0,-4.0,8.0,4.0,6.0
194,3,0.0,1,0,89,155,57,148,3.0,-4.0,8.0,17.0,8.0
195,3,0.0,1,0,85,163,79,154,3.0,-4.0,8.0,22.0,6.0
196,3,0.0,1,0,81,171,103,162,0.0,-4.0,8.0,24.0,8.0
197,0,0.0,1,0,77,179,115,168,0.0,-4.0,8.0,12.0,6.0
198,0,0.0,1,0,73,187,117,176,0.0,-4.0,8.0,2.0,8.0
199,0,0.0,1,0,69,190,119,182,0.0,-4.0,3.0,2.0,6.0
200,0,0.0,1,0,65,182,119,186,0.0,-4.0,-8.0,0.0,4.0
201,0,0.0,1,0,61,174,119,180,0.0,-4.0,-8.0,0.0,-6.0
202,0,0.0,1,0,57,166,119,172,0.0,-4.0,-8.0,0.0,-8.0
203,0,0.0,1,0,53,158,119,166,0.0,-4.0,-8.0,0.0,-6.0
204,0,0.0,1,0,49,150,119,158,0.0,-4.0,-8.0,0.0,-8.0
205,0,0.0,1,0,45,142,119,152,0.0,-4.0,-8.0,0.0,-6.0
206,0,0.0,1,0,41,134,119,144,0.0,-4.0,-8.0,0.0,-8.0
207,0,0.0,1,0,37,126,119,138,0.0,-4.0,-8.0,0.0,-6.0
208,0,0.0,1,0,33,118,119,130,0.0,-4.0,-8.0,0.0,-8.0
209,0,0.0,1,0,29,110,119,124,0.0,-4.0,-8.0,0.0,-6.0
210,0,0.0,1,0,25,102,119,116,0.0,-4.0,-8.0,0.0,-8.0
211,0,0.0,1,0,21,94,119,110,0.0,-4.0,-8.0,0.0,-6.0
212,0,0.0,1,0,17,86,119,102,0.0,-4.0,-8.0,0.0,-8.0
213,0,0.0,1,0,13,78,119,96,0.0,-4.0,-8.0,0.0,-6.0
214,0,0.0,1,0,10,70,119,88,0.0,-3.0,-8.0,0.0,-8.0
215,0,0.0,1,0,-1,-1,119,82,2.0,-11.0,-71.0,0.0,-6.0
216,2,1.0,1,1,-1,-1,109,74,0.0,0.0,0.0,-10.0,-8.0
217,0,0.0,1,1,-1,-1,101,68,0.0,0.0,0.0,-8.0,-6.0
218,0,0.0,1,1,-1,-1,97,60,3.0,0.0,0.0,-4.0,-8.0
219,3,0.0,1,1,-1,-1,107,54,3.0,0.0,0.0,10.0,-6.0
220,3,0.0,1,1,-1,-1,127,46,3.0,0.0,0.0,20.0,-8.0
221,3,0.0,1,1,-1,-1,149,41,0.0,0.0,0.0,22.0,-5.0
222,0,0.0,1,1,-1,-1,161,37,2.0,0.0,0.0,12.0,-4.0
223,2,0.0,1,1,-1,-1,155,34,2.0,0.0,0.0,-6.0,-3.0
224,2,0.0,1,1,-1,-1,135,-1,2.0,0.0,0.0,-20.0,-35.0
225,2,0.0,1,1,-1,-1,113,-1,0.0,0.0,0.0,-22.0,0.0
226,0,0.0,1,1,-1,-1,97,-1,0.0,0.0,0.0,-16.0,0.0
227,0,0.0,1,1,-1,-1,93,-1,3.0,0.0,0.0,-4.0,0.0
228,3,0.0,1,1,-1,-1,101,-1,3.0,0.0,0.0,8.0,0.0
229,3,0.0,1,1,-1,-1,121,-1,3.0,0.0,0.0,20.0,0.0
230,3,0.0,1,1,-1,-1,143,-1,0.0,0.0,0.0,22.0,0.0
231,0,0.0,1,1,-1,-1,163,-1,0.0,0.0,0.0,20.0,0.0
232,0,0.0,1,1,76,112,169,116,0.0,77.0,113.0,6.0,117.0
233,0,0.0,1,1,72,108,171,114,2.0,-4.0,-4.0,2.0,-2.0
234,2,0.0,1,1,68,104,161,108,2.0,-4.0,-4.0,-10.0,-6.0
235,2,0.0,1,1,64,100,141,106,0.0,-4.0,-4.0,-20.0,-2.0
236,0,0.0,1,1,60,96,129,100,0.0,-4.0,-4.0,-12.0,-6.0
237,0,0.0,1,1,56,92,127,98,0.0,-4.0,-4.0,-2.0,-2.0
238,0,0.0,1,1,52,88,125,92,2.0,-4.0,-4.0,-2.0,-6.0
239,2,0.0,1,1,48,84,119,90,0.0,-4.0,-4.0,-6.0,-2.0
240,0,0.0,1,1,44,80,111,84,0.0,-4.0,-4.0,-8.0,-6.0
241,0,0.0,1,1,40,76,107,82,0.0,-4.0,-4.0,-4.0,-2.0
242,0,0.0,1,1,36,72,107,76,0.0,-4.0,-4.0,0.0,-6.0
243,0,0.0,1,1,32,68,107,74,0.0,-4.0,-4.0,0.0,-2.0
