step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y
172,0,0.0,1,0,101,93,149
173,2,0.0,1,0,105,89,139
174,2,0.0,1,0,109,85,117
175,2,0.0,1,0,113,81,97
176,0,0.0,1,0,117,77,83
177,0,0.0,1,0,121,73,81
178,0,0.0,1,0,125,69,79
179,2,0.0,1,0,129,65,69
180,0,0.0,1,0,133,61,55
181,0,0.0,1,0,137,57,53
182,2,0.0,1,0,137,59,41
183,0,0.0,1,0,133,67,37
184,0,0.0,1,0,129,75,36
185,0,0.0,1,0,125,83,36
186,0,0.0,1,0,121,91,36
187,0,0.0,1,0,117,99,36
188,0,0.0,1,0,113,107,36
189,0,0.0,1,0,109,115,36
190,0,0.0,1,0,105,123,36
191,0,0.0,1,0,101,131,36
192,0,0.0,1,0,97,139,36
193,3,0.0,1,0,93,147,40
194,3,0.0,1,0,89,155,57
195,3,0.0,1,0,85,163,79
196,3,0.0,1,0,81,171,103
197,0,0.0,1,0,77,179,115
198,0,0.0,1,0,73,187,117
199,0,0.0,1,0,69,190,119
200,0,0.0,1,0,65,182,119
201,0,0.0,1,0,61,174,119
202,0,0.0,1,0,57,166,119
203,0,0.0,1,0,53,158,119
204,0,0.0,1,0,49,150,119
205,0,0.0,1,0,45,142,119
206,0,0.0,1,0,41,134,119
207,0,0.0,1,0,37,126,119
208,0,0.0,1,0,33,118,119
209,0,0.0,1,0,29,110,119
210,0,0.0,1,0,25,102,119
211,0,0.0,1,0,21,94,119
212,0,0.0,1,0,17,86,119
213,0,0.0,1,0,13,78,119
214,0,0.0,1,0,10,70,119
215,0,0.0,1,0,-1,-1,119
216,2,1.0,1,1,-1,-1,109
217,0,0.0,1,1,-1,-1,101
218,0,0.0,1,1,-1,-1,97
219,3,0.0,1,1,-1,-1,107
220,3,0.0,1,1,-1,-1,127
221,3,0.0,1,1,-1,-1,149
222,0,0.0,1,1,-1,-1,161
223,2,0.0,1,1,-1,-1,155
224,2,0.0,1,1,-1,-1,135
225,2,0.0,1,1,-1,-1,113
226,0,0.0,1,1,-1,-1,97
227,0,0.0,1,1,-1,-1,93
228,3,0.0,1,1,-1,-1,101
229,3,0.0,1,1,-1,-1,121
230,3,0.0,1,1,-1,-1,143
231,0,0.0,1,1,-1,-1,163
232,0,0.0,1,1,76,112,169
233,0,0.0,1,1,72,108,171
234,2,0.0,1,1,68,104,161
235,2,0.0,1,1,64,100,141
236,0,0.0,1,1,60,96,129
237,0,0.0,1,1,56,92,127
238,0,0.0,1,1,52,88,125
239,2,0.0,1,1,48,84,119
240,0,0.0,1,1,44,80,111
241,0,0.0,1,1,40,76,107
242,0,0.0,1,1,36,72,107
243,0,0.0,1,1,32,68,107
244,0,0.0,1,1,28,64,107
245,0,0.0,1,1,24,60,107
246,2,0.0,1,1,20,56,99
247,2,0.0,1,1,22,49,77
248,0,0.0,1,1,26,41,65
249,0,0.0,1,1,30,34,63
250,0,0.0,1,1,34,38,61
251,0,0.0,1,1,38,46,61
252,0,0.0,1,1,42,54,61
253,3,0.0,1,1,46,62,71
254,3,0.0,1,1,50,70,93
255,3,0.0,1,1,54,78,113
256,3,0.0,1,1,58,86,137
257,0,0.0,1,1,62,94,151
258,0,0.0,1,1,66,102,153
259,3,0.0,1,1,70,110,163
260,0,0.0,1,1,74,118,173
261,0,0.0,1,1,78,126,177
262,0,0.0,1,1,82,134,177
263,0,0.0,1,1,86,142,177
264,2,0.0,1,1,90,150,171
265,0,0.0,1,1,94,158,159
266,0,0.0,1,1,98,166,155
267,0,0.0,1,1,102,174,155
268,0,0.0,1,1,106,182,155
269,0,0.0,1,1,110,190,155
270,0,0.0,1,1,114,189,155
271,0,0.0,1,1,118,181,155
272,0,0.0,1,1,122,173,155
273,0,0.0,1,1,126,165,155
274,0,0.0,1,1,130,157,155
275,0,0.0,1,1,134,149,155
276,2,0.0,1,1,138,141,145
277,2,0.0,1,1,136,135,123
278,2,0.0,1,1,132,131,103
279,0,0.0,1,1,128,128,89
280,0,0.0,1,1,124,124,87
281,0,0.0,1,1,120,120,85
282,0,0.0,1,1,116,116,85
283,0,0.0,1,1,112,112,85
284,0,0.0,1,1,108,108,85
285,0,0.0,1,1,104,104,85
286,0,0.0,1,1,100,100,85
287,0,0.0,1,1,96,96,85
