step,action,reward,score_left,score_right,partita,ball_x,ball_y,right_paddle_y,left_paddle_y
103,0,0.0,0,0,1,77.0,46.0,97.0,50.0
104,0,0.0,0,0,1,81.0,50.0,97.0,56.0
105,0,0.0,0,0,1,85.0,54.0,97.0,58.0
106,2,0.0,0,0,1,89.0,58.0,107.0,64.0
107,0,0.0,0,0,1,93.0,62.0,115.0,66.0
108,0,0.0,0,0,1,97.0,66.0,119.0,72.0
109,0,0.0,0,0,1,101.0,70.0,119.0,74.0
110,0,0.0,0,0,1,105.0,74.0,119.0,80.0
111,0,0.0,0,0,1,109.0,78.0,119.0,82.0
112,0,0.0,0,0,1,113.0,82.0,119.0,88.0
113,0,0.0,0,0,1,117.0,86.0,119.0,90.0
114,0,0.0,0,0,1,121.0,90.0,119.0,96.0
115,0,0.0,0,0,1,125.0,94.0,119.0,98.0
116,0,0.0,0,0,1,129.0,98.0,119.0,104.0
117,0,0.0,0,0,1,133.0,101.0,119.0,106.0
118,0,0.0,0,0,1,137.0,105.0,119.0,112.0
119,0,0.0,0,0,1,141.0,109.0,119.0,114.0
120,1,0.0,0,0,1,136.0,105.0,109.0,110.0
121,1,0.0,0,0,1,128.0,97.0,89.0,104.0
122,0,0.0,0,0,1,120.0,89.0,73.0,96.0
123,0,0.0,0,0,1,112.0,81.0,69.0,90.0
124,0,0.0,0,0,1,104.0,73.0,67.0,82.0
125,0,0.0,0,0,1,96.0,65.0,67.0,76.0
126,0,0.0,0,0,1,88.0,57.0,67.0,68.0
127,0,0.0,0,0,1,80.0,49.0,67.0,62.0
128,0,0.0,0,0,1,72.0,41.0,67.0,54.0
129,0,0.0,0,0,1,64.0,34.0,67.0,48.0
130,0,0.0,0,0,1,56.0,38.0,67.0,44.0
131,0,0.0,0,0,1,48.0,46.0,67.0,50.0
132,2,0.0,0,0,1,40.0,54.0,77.0,58.0
133,2,0.0,0,0,1,32.0,62.0,97.0,64.0
134,2,0.0,0,0,1,24.0,70.0,119.0,72.0
135,2,0.0,0,0,1,20.0,75.0,143.0,78.0
136,0,0.0,0,0,1,28.0,71.0,155.0,76.0
137,0,0.0,0,0,1,36.0,67.0,159.0,72.0
138,0,0.0,0,0,1,44.0,63.0,159.0,68.0
139,0,0.0,0,0,1,52.0,59.0,159.0,64.0
140,0,0.0,0,0,1,60.0,55.0,159.0,60.0
141,1,0.0,0,0,1,68.0,51.0,149.0,56.0
142,1,0.0,0,0,1,76.0,47.0,129.0,52.0
143,1,0.0,0,0,1,84.0,43.0,107.0,48.0
144,1,0.0,0,0,1,92.0,39.0,85.0,44.0
145,1,0.0,0,0,1,100.0,35.0,61.0,41.0
146,1,0.0,0,0,1,108.0,35.0,41.0,40.0
147,0,0.0,0,0,1,116.0,38.0,37.0,42.0
148,0,0.0,0,0,1,124.0,42.0,36.0,48.0
149,2,0.0,0,0,1,132.0,46.0,38.0,50.0
150,2,0.0,0,0,1,140.0,49.0,54.0,56.0
151,2,0.0,0,0,1,132.0,46.0,73.0,52.0
152,2,0.0,0,0,1,124.0,42.0,97.0,46.0
153,0,0.0,0,0,1,116.0,38.0,109.0,44.0
154,0,0.0,0,0,1,108.0,35.0,111.0,40.0
155,0,0.0,0,0,1,100.0,35.0,113.0,40.0
156,0,0.0,0,0,1,92.0,39.0,113.0,44.0
157,0,0.0,0,0,1,84.0,43.0,113.0,48.0
158,0,0.0,0,0,1,76.0,47.0,113.0,52.0
159,0,0.0,0,0,1,68.0,51.0,113.0,56.0
160,0,0.0,0,0,1,60.0,55.0,113.0,60.0
161,0,0.0,0,0,1,52.0,59.0,113.0,64.0
162,0,0.0,0,0,1,44.0,63.0,113.0,68.0
163,0,0.0,0,0,1,36.0,67.0,113.0,72.0
164,0,0.0,0,0,1,28.0,71.0,113.0,76.0
165,0,0.0,0,0,1,20.0,75.0,113.0,80.0
166,0,0.0,0,0,1,27.0,70.0,113.0,76.0
167,0,0.0,0,0,1,39.0,62.0,113.0,70.0
168,0,0.0,0,0,1,51.0,54.0,113.0,62.0
169,0,0.0,0,0,1,63.0,46.0,113.0,56.0
170,1,0.0,0,0,1,75.0,38.0,103.0,48.0
171,1,0.0,0,0,1,87.0,35.0,83.0,42.0
172,1,0.0,0,0,1,99.0,43.0,61.0,48.0
173,1,0.0,0,0,1,111.0,51.0,41.0,54.0
174,1,0.0,0,0,1,123.0,59.0,37.0,62.0
175,0,0.0,0,0,1,135.0,67.0,36.0,68.0
176,0,0.0,0,0,1,147.0,75.0,36.0,76.0
177,2,-1.0,1,0,1,-1.0,-1.0,36.0,82.0
178,2,0.0,1,0,1,-1.0,-1.0,41.0,74.0
179,2,0.0,1,0,1,-1.0,-1.0,61.0,68.0
180,2,0.0,1,0,1,-1.0,-1.0,81.0,60.0
181,0,0.0,1,0,1,-1.0,-1.0,95.0,54.0
182,0,0.0,1,0,1,-1.0,-1.0,97.0,46.0
183,0,0.0,1,0,1,-1.0,-1.0,99.0,41.0
184,1,0.0,1,0,1,-1.0,-1.0,89.0,37.0
185,1,0.0,1,0,1,-1.0,-1.0,69.0,34.0
186,1,0.0,1,0,1,-1.0,-1.0,47.0,-1.0
187,0,0.0,1,0,1,-1.0,-1.0,38.0,-1.0
188,0,0.0,1,0,1,-1.0,-1.0,36.0,-1.0
189,2,0.0,1,0,1,-1.0,-1.0,41.0,-1.0
190,2,0.0,1,0,1,-1.0,-1.0,61.0,-1.0
191,2,0.0,1,0,1,-1.0,-1.0,81.0,-1.0
192,2,0.0,1,0,1,-1.0,-1.0,105.0,-1.0
193,2,0.0,1,0,1,81.0,117.0,127.0,122.0
194,2,0.0,1,0,1,85.0,121.0,151.0,126.0
195,2,0.0,1,0,1,89.0,125.0,173.0,130.0
196,0,0.0,1,0,1,93.0,129.0,186.0,134.0
197,0,0.0,1,0,1,97.0,133.0,187.0,138.0
198,1,0.0,1,0,1,101.0,137.0,186.0,142.0
199,1,0.0,1,0,1,105.0,141.0,171.0,146.0
200,1,0.0,1,0,1,109.0,145.0,151.0,150.0
201,1,0.0,1,0,1,113.0,149.0,127.0,154.0
202,0,0.0,1,0,1,117.0,153.0,115.0,158.0
203,0,0.0,1,0,1,121.0,157.0,113.0,162.0
204,2,0.0,1,0,1,125.0,161.0,121.0,166.0
205,2,0.0,1,0,1,129.0,165.0,141.0,170.0
206,2,0.0,1,0,1,133.0,169.0,163.0,174.0
207,2,0.0,1,0,1,137.0,173.0,185.0,178.0
208,0,0.0,1,0,1,141.0,177.0,190.0,182.0
209,0,0.0,1,0,1,145.0,181.0,191.0,186.0
210,0,0.0,1,0,1,149.0,185.0,191.0,188.0
211,0,0.0,1,0,1,-1.0,-1.0,191.0,190.0
212,1,-1.0,2,0,1,-1.0,-1.0,188.0,191.0
213,1,0.0,2,0,1,-1.0,-1.0,173.0,188.0
214,1,0.0,2,0,1,-1.0,-1.0,151.0,182.0
215,0,0.0,2,0,1,-1.0,-1.0,139.0,176.0
216,0,0.0,2,0,1,-1.0,-1.0,137.0,168.0
217,0,0.0,2,0,1,-1.0,-1.0,135.0,162.0
218,0,0.0,2,0,1,-1.0,-1.0,135.0,154.0
219,0,0.0,2,0,1,-1.0,-1.0,135.0,148.0
220,0,0.0,2,0,1,-1.0,-1.0,135.0,140.0
221,0,0.0,2,0,1,-1.0,-1.0,135.0,134.0
222,0,0.0,2,0,1,-1.0,-1.0,135.0,126.0
223,0,0.0,2,0,1,-1.0,-1.0,135.0,120.0
224,0,0.0,2,0,1,-1.0,-1.0,135.0,112.0
225,0,0.0,2,0,1,-1.0,-1.0,135.0,106.0
226,0,0.0,2,0,1,-1.0,-1.0,135.0,98.0
227,0,0.0,2,0,1,-1.0,-1.0,135.0,92.0
228,0,0.0,2,0,1,81.0,117.0,135.0,122.0
229,0,0.0,2,0,1,85.0,121.0,135.0,126.0
230,1,0.0,2,0,1,89.0,125.0,125.0,130.0
231,1,0.0,2,0,1,93.0,129.0,105.0,134.0
232,1,0.0,2,0,1,97.0,133.0,83.0,138.0
233,1,0.0,2,0,1,101.0,137.0,59.0,142.0
234,0,0.0,2,0,1,105.0,141.0,43.0,146.0
235,0,0.0,2,0,1,109.0,145.0,40.0,150.0
236,2,0.0,2,0,1,113.0,149.0,43.0,154.0
237,2,0.0,2,0,1,117.0,153.0,61.0,158.0
238,2,0.0,2,0,1,121.0,157.0,83.0,162.0
239,2,0.0,2,0,1,125.0,161.0,105.0,166.0
240,0,0.0,2,0,1,129.0,165.0,119.0,170.0
241,2,0.0,2,0,1,133.0,169.0,127.0,174.0
242,2,0.0,2,0,1,137.0,173.0,147.0,178.0
243,0,0.0,2,0,1,141.0,177.0,159.0,182.0
244,0,0.0,2,0,1,145.0,181.0,161.0,186.0
245,0,0.0,2,0,1,149.0,185.0,163.0,188.0
246,0,0.0,2,0,1,-1.0,-1.0,163.0,190.0
247,0,-1.0,3,0,1,-1.0,-1.0,163.0,192.0
248,2,0.0,3,0,1,-1.0,-1.0,173.0,188.0
249,2,0.0,3,0,1,-1.0,-1.0,187.0,184.0
250,0,0.0,3,0,1,-1.0,-1.0,190.0,176.0
251,0,0.0,3,0,1,-1.0,-1.0,191.0,170.0
252,0,0.0,3,0,1,-1.0,-1.0,191.0,162.0
253,0,0.0,3,0,1,-1.0,-1.0,191.0,156.0
254,0,0.0,3,0,1,-1.0,-1.0,191.0,148.0
255,0,0.0,3,0,1,-1.0,-1.0,191.0,142.0
256,0,0.0,3,0,1,-1.0,-1.0,191.0,134.0
257,0,0.0,3,0,1,-1.0,-1.0,191.0,128.0
258,0,0.0,3,0,1,-1.0,-1.0,191.0,120.0
259,0,0.0,3,0,1,-1.0,-1.0,191.0,114.0
260,0,0.0,3,0,1,-1.0,-1.0,191.0,106.0
261,0,0.0,3,0,1,-1.0,-1.0,191.0,100.0
262,0,0.0,3,0,1,-1.0,-1.0,191.0,92.0
263,0,0.0,3,0,1,81.0,117.0,191.0,122.0
264,0,0.0,3,0,1,85.0,121.0,191.0,126.0
265,0,0.0,3,0,1,89.0,125.0,191.0,130.0
266,0,0.0,3,0,1,93.0,129.0,191.0,134.0
267,0,0.0,3,0,1,97.0,133.0,191.0,138.0
268,0,0.0,3,0,1,101.0,137.0,191.0,142.0
269,0,0.0,3,0,1,105.0,141.0,191.0,146.0
270,0,0.0,3,0,1,109.0,145.0,191.0,150.0
271,0,0.0,3,0,1,113.0,149.0,191.0,154.0
272,0,0.0,3,0,1,117.0,153.0,191.0,158.0
273,0,0.0,3,0,1,121.0,157.0,191.0,162.0
274,0,0.0,3,0,1,125.0,161.0,191.0,166.0
275,0,0.0,3,0,1,129.0,165.0,191.0,170.0
276,0,0.0,3,0,1,133.0,169.0,191.0,174.0
277,0,0.0,3,0,1,137.0,173.0,191.0,178.0
278,0,0.0,3,0,1,141.0,177.0,191.0,182.0
279,0,0.0,3,0,1,145.0,181.0,191.0,186.0
280,0,0.0,3,0,1,149.0,185.0,191.0,188.0
281,0,0.0,3,0,1,-1.0,-1.0,191.0,190.0
282,0,-1.0,4,0,1,-1.0,-1.0,191.0,191.0
283,0,0.0,4,0,1,-1.0,-1.0,191.0,188.0
284,0,0.0,4,0,1,-1.0,-1.0,191.0,182.0
