step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,ball_x_std,ball_y_std,right_paddle_y_std,left_paddle_y_std,ball_x_minmax,ball_y_minmax,right_paddle_y_minmax,left_paddle_y_minmax
58,2,0.0,0,0,137,153,153,144,1.589267,0.8132603,1.2048038,0.587543,0.94520545,0.7938144,0.75838923,0.7512953
59,0,0.0,0,0,137,157,161,150,1.589267,0.8864514,1.4195687,0.7029926,0.94520545,0.814433,0.81208056,0.78238344
60,0,0.0,0,0,133,157,165,158,1.4905275,0.8864514,1.5269512,0.8569254,0.91780823,0.814433,0.8389262,0.8238342
61,0,0.0,0,0,129,157,165,162,1.3917879,0.8864514,1.5269512,0.93389183,0.89041096,0.814433,0.8389262,0.8445596
62,0,0.0,0,0,125,157,165,162,1.2930483,0.8864514,1.5269512,0.93389183,0.8630137,0.814433,0.8389262,0.8445596
63,0,0.0,0,0,121,157,165,162,1.1943088,0.8864514,1.5269512,0.93389183,0.8356164,0.814433,0.8389262,0.8445596
64,1,0.0,0,0,117,157,155,162,1.0955691,0.8864514,1.258495,0.93389183,0.8082192,0.814433,0.7718121,0.8445596
65,1,0.0,0,0,113,157,135,162,0.99682957,0.8864514,0.7215828,0.93389183,0.7808219,0.814433,0.6375839,0.8445596
66,1,0.0,0,0,109,157,113,162,0.89808995,0.8864514,0.13097927,0.93389183,0.75342464,0.814433,0.4899329,0.8445596
67,1,0.0,0,0,105,157,91,162,0.7993504,0.8864514,-0.4596242,0.93389183,0.72602737,0.814433,0.34228188,0.8445596
68,0,0.0,0,0,101,157,77,162,0.70061076,0.8864514,-0.8354628,0.93389183,0.69863015,0.814433,0.24832214,0.8445596
69,0,0.0,0,0,97,157,75,162,0.6018712,0.8864514,-0.889154,0.93389183,0.6712329,0.814433,0.23489933,0.8445596
70,0,0.0,0,0,93,157,73,162,0.5031316,0.8864514,-0.9428452,0.93389183,0.6438356,0.814433,0.22147651,0.8445596
71,2,0.0,0,0,89,157,83,162,0.40439203,0.8864514,-0.6743891,0.93389183,0.6164383,0.814433,0.2885906,0.8445596
72,2,0.0,0,0,85,157,103,162,0.30565244,0.8864514,-0.13747685,0.93389183,0.5890411,0.814433,0.42281878,0.8445596
73,2,0.0,0,0,81,157,125,162,0.20691285,0.8864514,0.45312664,0.93389183,0.56164384,0.814433,0.5704698,0.8445596
74,2,0.0,0,0,77,157,149,162,0.108173266,0.8864514,1.0974213,0.93389183,0.53424656,0.814433,0.7315436,0.8445596
75,2,0.0,0,0,73,157,171,162,0.009433679,0.8864514,1.6880249,0.93389183,0.5068493,0.814433,0.8791946,0.8445596
76,0,0.0,0,0,69,157,187,162,-0.08930591,0.8864514,2.1175547,0.93389183,0.47945204,0.814433,0.98657715,0.8445596
77,0,0.0,0,0,65,157,189,162,-0.1880455,0.8864514,2.1712458,0.93389183,0.4520548,0.814433,1.0,0.8445596
78,1,0.0,0,0,61,157,185,162,-0.28678507,0.8864514,2.0638635,0.93389183,0.42465752,0.814433,0.97315437,0.8445596
79,1,0.0,0,0,57,157,165,162,-0.38552466,0.8864514,1.5269512,0.93389183,0.39726028,0.814433,0.8389262,0.8445596
80,0,0.0,0,0,53,157,153,162,-0.48426425,0.8864514,1.2048038,0.93389183,0.369863,0.814433,0.75838923,0.8445596
81,1,0.0,0,0,49,157,139,162,-0.5830038,0.8864514,0.8289652,0.93389183,0.34246576,0.814433,0.66442955,0.8445596
82,0,0.0,0,0,45,157,129,162,-0.68174344,0.8864514,0.5605091,0.93389183,0.31506848,0.814433,0.59731543,0.8445596
83,0,0.0,0,0,41,157,125,162,-0.780483,0.8864514,0.45312664,0.93389183,0.28767124,0.814433,0.5704698,0.8445596
84,0,0.0,0,0,37,157,125,162,-0.8792226,0.8864514,0.45312664,0.93389183,0.26027396,0.814433,0.5704698,0.8445596
85,0,0.0,0,0,33,157,125,162,-0.9779622,0.8864514,0.45312664,0.93389183,0.23287672,0.814433,0.5704698,0.8445596
86,0,0.0,0,0,29,157,125,162,-1.0767018,0.8864514,0.45312664,0.93389183,0.20547946,0.814433,0.5704698,0.8445596
87,0,0.0,0,0,25,157,125,162,-1.1754414,0.8864514,0.45312664,0.93389183,0.1780822,0.814433,0.5704698,0.8445596
88,0,0.0,0,0,21,157,125,162,-1.2741809,0.8864514,0.45312664,0.93389183,0.15068494,0.814433,0.5704698,0.8445596
89,0,0.0,0,0,21,153,125,160,-1.2741809,0.8132603,0.45312664,0.89540863,0.15068494,0.7938144,0.5704698,0.83419687
90,0,0.0,0,0,25,145,125,152,-1.1754414,0.6668781,0.45312664,0.7414758,0.1780822,0.7525773,0.5704698,0.7927461
91,0,0.0,0,0,29,137,125,146,-1.0767018,0.52049595,0.45312664,0.6260262,0.20547946,0.7113402,0.5704698,0.761658
92,0,0.0,0,0,33,129,125,138,-0.9779622,0.37411374,0.45312664,0.47209337,0.23287672,0.6701031,0.5704698,0.7202073
93,0,0.0,0,0,37,121,125,132,-0.8792226,0.22773156,0.45312664,0.35664377,0.26027396,0.62886596,0.5704698,0.68911916
94,0,0.0,0,0,41,113,125,124,-0.780483,0.08134937,0.45312664,0.20271094,0.28767124,0.58762884,0.5704698,0.6476684
95,0,0.0,0,0,45,105,125,118,-0.68174344,-0.06503282,0.45312664,0.08726133,0.31506848,0.5463917,0.5704698,0.6165803
96,0,0.0,0,0,49,97,125,110,-0.5830038,-0.21141501,0.45312664,-0.0666715,0.34246576,0.5051546,0.5704698,0.5751295
