step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y
154,0,0.0,0,1,136,121,103,116
155,2,0.0,0,1,140,129,107,122
156,2,0.0,0,1,144,137,127,130
157,2,0.0,0,1,148,145,149,136
158,0,0.0,0,1,-1,-1,165,144
159,0,0.0,0,1,-1,-1,169,150
160,0,-1.0,1,1,-1,-1,171,146
161,0,0.0,1,1,-1,-1,171,140
162,0,0.0,1,1,-1,-1,171,132
163,0,0.0,1,1,-1,-1,171,126
164,1,0.0,1,1,-1,-1,161,118
165,1,0.0,1,1,-1,-1,141,112
166,1,0.0,1,1,-1,-1,119,104
167,1,0.0,1,1,-1,-1,97,98
168,0,0.0,1,1,-1,-1,83,90
169,0,0.0,1,1,-1,-1,81,84
170,2,0.0,1,1,-1,-1,89,76
171,2,0.0,1,1,-1,-1,109,70
172,2,0.0,1,1,-1,-1,131,62
173,0,0.0,1,1,-1,-1,145,56
174,0,0.0,1,1,-1,-1,147,48
175,0,0.0,1,1,80,116,149,120
176,0,0.0,1,1,84,120,149,126
177,1,0.0,1,1,88,124,143,128
178,0,0.0,1,1,92,128,129,134
179,0,0.0,1,1,96,132,127,136
180,0,0.0,1,1,100,136,125,142
181,0,0.0,1,1,104,140,125,144
182,0,0.0,1,1,108,144,125,150
183,0,0.0,1,1,112,148,125,152
184,2,0.0,1,1,116,152,135,158
185,0,0.0,1,1,120,156,145,160
186,0,0.0,1,1,124,160,149,166
187,0,0.0,1,1,128,164,149,168
188,0,0.0,1,1,132,167,149,174
189,0,0.0,1,1,136,171,149,176
190,2,0.0,1,1,140,175,159,182
191,0,0.0,1,1,144,179,167,184
192,0,0.0,1,1,148,183,171,188
193,0,0.0,1,1,-1,-1,171,189
194,0,0.0,1,1,-1,-1,171,192
195,0,-1.0,2,1,-1,-1,171,189
196,0,0.0,2,1,-1,-1,171,184
197,0,0.0,2,1,-1,-1,171,178
198,0,0.0,2,1,-1,-1,171,170
199,0,0.0,2,1,-1,-1,171,164
200,0,0.0,2,1,-1,-1,171,156
201,0,0.0,2,1,-1,-1,171,150
202,0,0.0,2,1,-1,-1,171,142
203,0,0.0,2,1,-1,-1,171,136
204,0,0.0,2,1,-1,-1,171,128
205,0,0.0,2,1,-1,-1,171,122
206,0,0.0,2,1,-1,-1,171,114
207,0,0.0,2,1,-1,-1,171,108
208,0,0.0,2,1,-1,-1,171,100
209,0,0.0,2,1,-1,-1,171,94
210,0,0.0,2,1,80,116,171,122
211,0,0.0,2,1,84,120,171,124
212,0,0.0,2,1,88,124,171,130
213,1,0.0,2,1,92,128,171,132
214,1,0.0,2,1,96,132,157,138
215,0,0.0,2,1,100,136,147,140
216,0,0.0,2,1,104,140,143,146
217,0,0.0,2,1,108,144,143,148
218,0,0.0,2,1,112,148,143,154
219,2,0.0,2,1,116,152,149,156
220,0,0.0,2,1,120,156,161,162
221,0,0.0,2,1,124,160,165,164
222,0,0.0,2,1,128,163,165,170
223,0,0.0,2,1,132,167,165,172
224,0,0.0,2,1,136,171,165,178
225,2,0.0,2,1,140,175,165,180
226,0,0.0,2,1,144,179,165,186
