step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,ball_x_std,ball_y_std,right_paddle_y_std,left_paddle_y_std,ball_x_minmax,ball_y_minmax,right_paddle_y_minmax,left_paddle_y_minmax
0,0,0.0,0,0,-1,-1,103,-1,-1.1199186,-1.2212456,-0.758753,-2.5068986,0.0,0.0,0.43333334,0.0
1,0,0.0,0,0,-1,-1,103,-1,-1.1199186,-1.2212456,-0.758753,-2.5068986,0.0,0.0,0.43333334,0.0
2,0,0.0,0,0,-1,-1,103,-1,-1.1199186,-1.2212456,-0.758753,-2.5068986,0.0,0.0,0.43333334,0.0
3,0,0.0,0,0,-1,-1,103,-1,-1.1199186,-1.2212456,-0.758753,-2.5068986,0.0,0.0,0.43333334,0.0
4,0,0.0,0,0,-1,-1,103,-1,-1.1199186,-1.2212456,-0.758753,-2.5068986,0.0,0.0,0.43333334,0.0
5,0,0.0,0,0,-1,-1,103,-1,-1.1199186,-1.2212456,-0.758753,-2.5068986,0.0,0.0,0.43333334,0.0
6,0,0.0,0,0,-1,-1,103,-1,-1.1199186,-1.2212456,-0.758753,-2.5068986,0.0,0.0,0.43333334,0.0
7,0,0.0,0,0,-1,-1,103,-1,-1.1199186,-1.2212456,-0.758753,-2.5068986,0.0,0.0,0.43333334,0.0
8,0,0.0,0,0,-1,-1,103,-1,-1.1199186,-1.2212456,-0.758753,-2.5068986,0.0,0.0,0.43333334,0.0
9,0,0.0,0,0,-1,-1,103,-1,-1.1199186,-1.2212456,-0.758753,-2.5068986,0.0,0.0,0.43333334,0.0
10,0,0.0,0,0,-1,-1,103,-1,-1.1199186,-1.2212456,-0.758753,-2.5068986,0.0,0.0,0.43333334,0.0
11,2,0.0,0,0,-1,-1,111,-1,-1.1199186,-1.2212456,-0.52395266,-2.5068986,0.0,0.0,0.5,0.0
12,2,0.0,0,0,-1,-1,133,-1,-1.1199186,-1.2212456,0.12174831,-2.5068986,0.0,0.0,0.68333334,0.0
13,0,0.0,0,0,-1,-1,145,-1,-1.1199186,-1.2212456,0.47394884,-2.5068986,0.0,0.0,0.78333336,0.0
14,0,0.0,0,0,77,119,147,124,0.4512833,0.60461175,0.5326489,0.10965856,0.52348995,0.625,0.8,0.6476684
15,0,0.0,0,0,73,127,149,130,0.37070885,0.7263356,0.591349,0.2352533,0.4966443,0.6666667,0.81666666,0.6787565
16,0,0.0,0,0,69,135,149,138,0.2901344,0.8480594,0.591349,0.40271294,0.46979865,0.7083333,0.81666666,0.7202073
17,0,0.0,0,0,65,143,149,144,0.20955993,0.96978325,0.591349,0.5283077,0.44295302,0.75,0.81666666,0.7512953
18,1,0.0,0,0,61,151,139,152,0.12898548,1.0915071,0.29784858,0.69576734,0.4161074,0.7916667,0.73333335,0.7927461
19,1,0.0,0,0,57,159,117,158,0.04841102,1.2132308,-0.34785238,0.8213621,0.38926175,0.8333333,0.55,0.8238342
20,0,0.0,0,0,53,167,107,166,-0.032163437,1.3349547,-0.64135283,0.98882174,0.36241612,0.875,0.46666667,0.865285
21,0,0.0,0,0,49,175,103,172,-0.112737894,1.4566785,-0.758753,1.1144165,0.33557048,0.9166667,0.43333334,0.89637303
22,0,0.0,0,0,45,183,103,180,-0.19331235,1.5784023,-0.758753,1.2818761,0.30872482,0.9583333,0.43333334,0.93782383
23,0,0.0,0,0,41,191,103,186,-0.2738868,1.7001262,-0.758753,1.4074708,0.2818792,1.0,0.43333334,0.96891195
24,0,0.0,0,0,37,186,103,188,-0.35446125,1.6240488,-0.758753,1.4493358,0.25503355,0.9739583,0.43333334,0.97927463
